x;y;z;u;v;column;row
47.3914;1999.1750;1276.4979;0.5172;0.4211;15;8
141.9850;1994.7388;1277.4708;0.5517;0.4211;16;8
236.0111;1985.9001;1279.4089;0.5862;0.4211;17;8
329.0991;1972.7273;1282.2975;0.6207;0.4211;18;8
420.8903;1955.3231;1286.1139;0.6552;0.4211;19;8
511.0426;1933.8243;1290.8281;0.6897;0.4211;20;8
599.2347;1908.4019;1296.4028;0.7241;0.4211;21;8
685.1715;1879.2612;1302.7929;0.7586;0.4211;22;8
768.5885;1846.6416;1309.9459;0.7931;0.4211;23;8
849.2564;1810.8170;1317.8020;0.8276;0.4211;24;8
926.9860;1772.0952;1326.2935;0.8621;0.4211;25;8
1001.6329;1730.8184;1335.3457;0.8966;0.4211;26;8
1073.1021;1687.3630;1344.8761;0.9310;0.4211;27;8
1141.3527;1642.1397;1354.7946;0.9655;0.4211;28;8
1206.4028;1595.5933;1365.0039;1.0000;0.4211;29;8
-1206.4034;1595.5887;1285.6304;0.0000;0.4737;0;9
-1141.3522;1642.1398;1274.1438;0.0345;0.4737;1;9
-1073.1009;1687.3659;1262.9846;0.0690;0.4737;2;9
-1001.6314;1730.8226;1252.2624;0.1034;0.4737;3;9
-926.9843;1772.0997;1242.0784;0.1379;0.4737;4;9
-849.2547;1810.8211;1232.5252;0.1724;0.4737;5;9
-768.5870;1846.6449;1223.6871;0.2069;0.4737;6;9
-685.1702;1879.2634;1215.6401;0.2414;0.4737;7;9
-599.2337;1908.4031;1208.4514;0.2759;0.4737;8;9
-511.0420;1933.8246;1202.1802;0.3103;0.4737;9;9
-420.8901;1955.3228;1196.8769;0.3448;0.4737;10;9
-329.0992;1972.7266;1192.5837;0.3793;0.4737;11;9
-236.0114;1985.8993;1189.3343;0.4138;0.4737;12;9
-141.9855;1994.7383;1187.1540;0.4483;0.4737;13;9
-47.3921;1999.1750;1186.0596;0.4828;0.4737;14;9
47.3914;1999.1754;1186.0597;0.5172;0.4737;15;9
141.9849;1994.7394;1187.1540;0.5517;0.4737;16;9
236.0110;1985.9011;1189.3344;0.5862;0.4737;17;9
329.0990;1972.7289;1192.5838;0.6207;0.4737;18;9
420.8902;1955.3254;1196.8770;0.6552;0.4737;19;9
511.0424;1933.8274;1202.1802;0.6897;0.4737;20;9
599.2345;1908.4057;1208.4515;0.7241;0.4737;21;9
685.1713;1879.2656;1215.6401;0.7586;0.4737;22;9
768.5882;1846.6466;1223.6871;0.7931;0.4737;23;9
849.2562;1810.8221;1232.5251;0.8276;0.4737;24;9
926.9858;1772.1000;1242.0782;0.8621;0.4737;25;9
1001.6328;1730.8223;1252.2622;0.8966;0.4737;26;9
1073.1020;1687.3653;1262.9844;0.9310;0.4737;27;9
1141.3526;1642.1394;1274.1437;0.9655;0.4737;28;9
1206.4028;1595.5894;1285.6304;1.0000;0.4737;29;9
-1206.4031;1595.5848;1206.2572;0.0000;0.5263;0;10
-1141.3519;1642.1393;1193.4932;0.0345;0.5263;1;10
-1073.1006;1687.3678;1181.0933;0.0690;0.5263;2;10
-1001.6309;1730.8260;1169.1793;0.1034;0.5263;3;10
-926.9839;1772.1039;1157.8635;0.1379;0.5263;4;10
-849.2542;1810.8254;1147.2488;0.1724;0.5263;5;10
-768.5865;1846.6490;1137.4288;0.2069;0.5263;6;10
-685.1698;1879.2670;1128.4878;0.2414;0.5263;7;10
-599.2334;1908.4059;1120.5006;0.2759;0.5263;8;10
-511.0416;1933.8266;1113.5328;0.3103;0.5263;9;10
-420.8898;1955.3240;1107.6405;0.3448;0.5263;10;10
-329.0989;1972.7271;1102.8705;0.3793;0.5263;11;10
-236.0112;1985.8992;1099.2603;0.4138;0.5263;12;10
-141.9854;1994.7377;1096.8379;0.4483;0.5263;13;10
-47.3920;1999.1743;1095.6220;0.4828;0.5263;14;10
47.3914;1999.1747;1095.6220;0.5172;0.5263;15;10
141.9848;1994.7388;1096.8379;0.5517;0.5263;16;10
236.0108;1985.9010;1099.2604;0.5862;0.5263;17;10
329.0987;1972.7294;1102.8706;0.6207;0.5263;18;10
420.8899;1955.3266;1107.6406;0.6552;0.5263;19;10
511.0420;1933.8294;1113.5329;0.6897;0.5263;20;10
599.2341;1908.4085;1120.5006;0.7241;0.5263;21;10
685.1709;1879.2692;1128.4878;0.7586;0.5263;22;10
768.5878;1846.6507;1137.4287;0.7931;0.5263;23;10
849.2557;1810.8264;1147.2486;0.8276;0.5263;24;10
926.9854;1772.1041;1157.8633;0.8621;0.5263;25;10
1001.6323;1730.8257;1169.1791;0.8966;0.5263;26;10
1073.1016;1687.3672;1181.0931;0.9310;0.5263;27;10
1141.3523;1642.1389;1193.4930;0.9655;0.5263;28;10
1206.4025;1595.5853;1206.2571;1.0000;0.5263;29;10
-1206.4028;1595.5802;1126.8844;0.0000;0.5789;0;11
-1141.3515;1642.1380;1112.8431;0.0345;0.5789;1;11
-1073.1000;1687.3688;1099.2026;0.0690;0.5789;2;11
-1001.6304;1730.8283;1086.0969;0.1034;0.5789;3;11
-926.9832;1772.1067;1073.6493;0.1379;0.5789;4;11
-849.2536;1810.8284;1061.9731;0.1724;0.5789;5;11
-768.5859;1846.6516;1051.1713;0.2069;0.5789;6;11
-685.1692;1879.2689;1041.3364;0.2414;0.5789;7;11
-599.2328;1908.4070;1032.5508;0.2759;0.5789;8;11
